SERNO,RadmonID,MACID,RadiationLevel,Location,Department,RadiationStatus,DateTime,RecordNo,RadmonType,Temperature,BatteryVoltage,BatteryCurrent,Health,DataString,RadiationCPM,Dummy,Mdate
15249,1,NULL,64,NG (OUT),RSSD,48,6/22/2018 2:14,42153,NULL,NULL,NULL,NULL,NULL," 42153,1,48,64,22/6/2018 2:14:49",NULL,NULL,7/2/2018 17:08
15250,1,NULL,62,NG (OUT),RSSD,48,6/22/2018 2:16,42154,NULL,NULL,NULL,NULL,NULL," 42154,1,48,62,22/6/2018 2:16:49",NULL,NULL,7/2/2018 17:08
15251,1,NULL,69,NG (OUT),RSSD,48,6/22/2018 2:18,42155,NULL,NULL,NULL,NULL,NULL," 42155,1,48,69,22/6/2018 2:18:49",NULL,NULL,7/2/2018 17:08
15252,1,NULL,81,NG (OUT),RSSD,48,6/22/2018 2:20,42156,NULL,NULL,NULL,NULL,NULL," 42156,1,48,81,22/6/2018 2:20:49",NULL,NULL,7/2/2018 17:08
15253,1,NULL,96,NG (OUT),RSSD,48,6/22/2018 2:22,42157,NULL,NULL,NULL,NULL,NULL," 42157,1,48,96,22/6/2018 2:22:49",NULL,NULL,7/2/2018 17:08
15254,1,NULL,56,NG (OUT),RSSD,48,6/22/2018 2:24,42158,NULL,NULL,NULL,NULL,NULL," 42158,1,48,56,22/6/2018 2:24:49",NULL,NULL,7/2/2018 17:08
15255,1,NULL,81,NG (OUT),RSSD,48,6/22/2018 2:26,42159,NULL,NULL,NULL,NULL,NULL," 42159,1,48,81,22/6/2018 2:26:49",NULL,NULL,7/2/2018 17:08
15256,1,NULL,106,NG (OUT),RSSD,48,6/22/2018 2:28,42160,NULL,NULL,NULL,NULL,NULL," 42160,1,48,106,22/6/2018 2:28:49",NULL,NULL,7/2/2018 17:08
15257,1,NULL,99,NG (OUT),RSSD,48,6/22/2018 2:30,42161,NULL,NULL,NULL,NULL,NULL," 42161,1,48,99,22/6/2018 2:30:49",NULL,NULL,7/2/2018 17:08
15258,1,NULL,120,NG (OUT),RSSD,48,6/22/2018 2:32,42162,NULL,NULL,NULL,NULL,NULL," 42162,1,48,120,22/6/2018 2:32:49",NULL,NULL,7/2/2018 17:08
15259,1,NULL,112,NG (OUT),RSSD,48,6/22/2018 2:34,42163,NULL,NULL,NULL,NULL,NULL," 42163,1,48,112,22/6/2018 2:34:49",NULL,NULL,7/2/2018 17:08
15260,1,NULL,94,NG (OUT),RSSD,48,6/22/2018 2:36,42164,NULL,NULL,NULL,NULL,NULL," 42164,1,48,94,22/6/2018 2:36:49",NULL,NULL,7/2/2018 17:08
15261,1,NULL,44,NG (OUT),RSSD,48,6/22/2018 2:38,42165,NULL,NULL,NULL,NULL,NULL," 42165,1,48,44,22/6/2018 2:38:49",NULL,NULL,7/2/2018 17:08
15262,1,NULL,81,NG (OUT),RSSD,48,6/22/2018 2:40,42166,NULL,NULL,NULL,NULL,NULL," 42166,1,48,81,22/6/2018 2:40:49",NULL,NULL,7/2/2018 17:08
15263,1,NULL,85,NG (OUT),RSSD,48,6/22/2018 2:42,42167,NULL,NULL,NULL,NULL,NULL," 42167,1,48,85,22/6/2018 2:42:49",NULL,NULL,7/2/2018 17:08
15264,1,NULL,110,NG (OUT),RSSD,48,6/22/2018 2:44,42168,NULL,NULL,NULL,NULL,NULL," 42168,1,48,110,22/6/2018 2:44:49",NULL,NULL,7/2/2018 17:08
15265,1,NULL,68,NG (OUT),RSSD,48,6/22/2018 2:46,42169,NULL,NULL,NULL,NULL,NULL," 42169,1,48,68,22/6/2018 2:46:49",NULL,NULL,7/2/2018 17:08
15266,1,NULL,111,NG (OUT),RSSD,48,6/22/2018 2:48,42170,NULL,NULL,NULL,NULL,NULL," 42170,1,48,111,22/6/2018 2:48:49",NULL,NULL,7/2/2018 17:08
15267,1,NULL,87,NG (OUT),RSSD,48,6/22/2018 2:50,42171,NULL,NULL,NULL,NULL,NULL," 42171,1,48,87,22/6/2018 2:50:49",NULL,NULL,7/2/2018 17:08
15268,1,NULL,90,NG (OUT),RSSD,48,6/22/2018 2:52,42172,NULL,NULL,NULL,NULL,NULL," 42172,1,48,90,22/6/2018 2:52:49",NULL,NULL,7/2/2018 17:08
15269,1,NULL,116,NG (OUT),RSSD,48,6/22/2018 2:54,42173,NULL,NULL,NULL,NULL,NULL," 42173,1,48,116,22/6/2018 2:54:49",NULL,NULL,7/2/2018 17:08
15270,1,NULL,88,NG (OUT),RSSD,48,6/22/2018 2:56,42174,NULL,NULL,NULL,NULL,NULL," 42174,1,48,88,22/6/2018 2:56:49",NULL,NULL,7/2/2018 17:08
15271,1,NULL,76,NG (OUT),RSSD,48,6/22/2018 2:58,42175,NULL,NULL,NULL,NULL,NULL," 42175,1,48,76,22/6/2018 2:58:49",NULL,NULL,7/2/2018 17:08
15272,1,NULL,104,NG (OUT),RSSD,48,6/22/2018 3:00,42176,NULL,NULL,NULL,NULL,NULL," 42176,1,48,104,22/6/2018 3:0:49",NULL,NULL,7/2/2018 17:08
15273,1,NULL,72,NG (OUT),RSSD,48,6/22/2018 3:02,42177,NULL,NULL,NULL,NULL,NULL," 42177,1,48,72,22/6/2018 3:2:49",NULL,NULL,7/2/2018 17:08
15274,1,NULL,62,NG (OUT),RSSD,48,6/22/2018 3:04,42178,NULL,NULL,NULL,NULL,NULL," 42178,1,48,62,22/6/2018 3:4:49",NULL,NULL,7/2/2018 17:08
15275,1,NULL,62,NG (OUT),RSSD,48,6/22/2018 3:06,42179,NULL,NULL,NULL,NULL,NULL," 42179,1,48,62,22/6/2018 3:6:49",NULL,NULL,7/2/2018 17:08
15276,1,NULL,63,NG (OUT),RSSD,48,6/22/2018 3:08,42180,NULL,NULL,NULL,NULL,NULL," 42180,1,48,63,22/6/2018 3:8:49",NULL,NULL,7/2/2018 17:08
15277,1,NULL,106,NG (OUT),RSSD,48,6/22/2018 3:10,42181,NULL,NULL,NULL,NULL,NULL," 42181,1,48,106,22/6/2018 3:10:49",NULL,NULL,7/2/2018 17:08
15278,1,NULL,95,NG (OUT),RSSD,48,6/22/2018 3:12,42182,NULL,NULL,NULL,NULL,NULL," 42182,1,48,95,22/6/2018 3:12:49",NULL,NULL,7/2/2018 17:08
15279,1,NULL,95,NG (OUT),RSSD,48,6/22/2018 3:14,42183,NULL,NULL,NULL,NULL,NULL," 42183,1,48,95,22/6/2018 3:14:49",NULL,NULL,7/2/2018 17:08
15280,1,NULL,104,NG (OUT),RSSD,48,6/22/2018 3:16,42184,NULL,NULL,NULL,NULL,NULL," 42184,1,48,104,22/6/2018 3:16:49",NULL,NULL,7/2/2018 17:08
15281,1,NULL,114,NG (OUT),RSSD,48,6/22/2018 3:18,42185,NULL,NULL,NULL,NULL,NULL," 42185,1,48,114,22/6/2018 3:18:49",NULL,NULL,7/2/2018 17:08
15282,1,NULL,83,NG (OUT),RSSD,48,6/22/2018 3:20,42186,NULL,NULL,NULL,NULL,NULL," 42186,1,48,83,22/6/2018 3:20:49",NULL,NULL,7/2/2018 17:08
15283,1,NULL,56,NG (OUT),RSSD,48,6/22/2018 3:22,42187,NULL,NULL,NULL,NULL,NULL," 42187,1,48,56,22/6/2018 3:22:49",NULL,NULL,7/2/2018 17:08
15284,1,NULL,83,NG (OUT),RSSD,48,6/22/2018 3:24,42188,NULL,NULL,NULL,NULL,NULL," 42188,1,48,83,22/6/2018 3:24:49",NULL,NULL,7/2/2018 17:08
15285,1,NULL,54,NG (OUT),RSSD,48,6/22/2018 3:26,42189,NULL,NULL,NULL,NULL,NULL," 42189,1,48,54,22/6/2018 3:26:49",NULL,NULL,7/2/2018 17:08
15286,1,NULL,92,NG (OUT),RSSD,48,6/22/2018 3:28,42190,NULL,NULL,NULL,NULL,NULL," 42190,1,48,92,22/6/2018 3:28:49",NULL,NULL,7/2/2018 17:08
15287,1,NULL,115,NG (OUT),RSSD,48,6/22/2018 3:30,42191,NULL,NULL,NULL,NULL,NULL," 42191,1,48,115,22/6/2018 3:30:49",NULL,NULL,7/2/2018 17:08
15288,1,NULL,96,NG (OUT),RSSD,48,6/22/2018 3:32,42192,NULL,NULL,NULL,NULL,NULL," 42192,1,48,96,22/6/2018 3:32:49",NULL,NULL,7/2/2018 17:08
15289,1,NULL,81,NG (OUT),RSSD,48,6/22/2018 3:34,42193,NULL,NULL,NULL,NULL,NULL," 42193,1,48,81,22/6/2018 3:34:49",NULL,NULL,7/2/2018 17:08
15290,1,NULL,66,NG (OUT),RSSD,48,6/22/2018 3:36,42194,NULL,NULL,NULL,NULL,NULL," 42194,1,48,66,22/6/2018 3:36:49",NULL,NULL,7/2/2018 17:08
15291,1,NULL,42,NG (OUT),RSSD,48,6/22/2018 3:38,42195,NULL,NULL,NULL,NULL,NULL," 42195,1,48,42,22/6/2018 3:38:49",NULL,NULL,7/2/2018 17:08
15292,1,NULL,84,NG (OUT),RSSD,48,6/22/2018 3:40,42196,NULL,NULL,NULL,NULL,NULL," 42196,1,48,84,22/6/2018 3:40:49",NULL,NULL,7/2/2018 17:08
15293,1,NULL,75,NG (OUT),RSSD,48,6/22/2018 3:42,42197,NULL,NULL,NULL,NULL,NULL," 42197,1,48,75,22/6/2018 3:42:49",NULL,NULL,7/2/2018 17:08
15294,1,NULL,97,NG (OUT),RSSD,48,6/22/2018 3:44,42198,NULL,NULL,NULL,NULL,NULL," 42198,1,48,97,22/6/2018 3:44:49",NULL,NULL,7/2/2018 17:08
15295,1,NULL,33,NG (OUT),RSSD,48,6/22/2018 3:46,42199,NULL,NULL,NULL,NULL,NULL," 42199,1,48,33,22/6/2018 3:46:49",NULL,NULL,7/2/2018 17:08
15296,1,NULL,92,NG (OUT),RSSD,48,6/22/2018 3:48,42200,NULL,NULL,NULL,NULL,NULL," 42200,1,48,92,22/6/2018 3:48:49",NULL,NULL,7/2/2018 17:08
15297,1,NULL,105,NG (OUT),RSSD,48,6/22/2018 3:50,42201,NULL,NULL,NULL,NULL,NULL," 42201,1,48,105,22/6/2018 3:50:49",NULL,NULL,7/2/2018 17:08
15298,1,NULL,103,NG (OUT),RSSD,48,6/22/2018 3:52,42202,NULL,NULL,NULL,NULL,NULL," 42202,1,48,103,22/6/2018 3:52:49",NULL,NULL,7/2/2018 17:08
15299,1,NULL,64,NG (OUT),RSSD,48,6/22/2018 3:54,42203,NULL,NULL,NULL,NULL,NULL," 42203,1,48,64,22/6/2018 3:54:49",NULL,NULL,7/2/2018 17:08
15300,1,NULL,71,NG (OUT),RSSD,48,6/22/2018 3:56,42204,NULL,NULL,NULL,NULL,NULL," 42204,1,48,71,22/6/2018 3:56:49",NULL,NULL,7/2/2018 17:08
15301,1,NULL,103,NG (OUT),RSSD,48,6/22/2018 3:58,42205,NULL,NULL,NULL,NULL,NULL," 42205,1,48,103,22/6/2018 3:58:49",NULL,NULL,7/2/2018 17:08
15302,1,NULL,91,NG (OUT),RSSD,48,6/22/2018 4:00,42206,NULL,NULL,NULL,NULL,NULL," 42206,1,48,91,22/6/2018 4:0:49",NULL,NULL,7/2/2018 17:08
15303,1,NULL,72,NG (OUT),RSSD,48,6/22/2018 4:02,42207,NULL,NULL,NULL,NULL,NULL," 42207,1,48,72,22/6/2018 4:2:49",NULL,NULL,7/2/2018 17:08
15304,1,NULL,49,NG (OUT),RSSD,48,6/22/2018 4:04,42208,NULL,NULL,NULL,NULL,NULL," 42208,1,48,49,22/6/2018 4:4:49",NULL,NULL,7/2/2018 17:08
15305,1,NULL,59,NG (OUT),RSSD,48,6/22/2018 4:06,42209,NULL,NULL,NULL,NULL,NULL," 42209,1,48,59,22/6/2018 4:6:49",NULL,NULL,7/2/2018 17:08
15306,1,NULL,65,NG (OUT),RSSD,48,6/22/2018 4:08,42210,NULL,NULL,NULL,NULL,NULL," 42210,1,48,65,22/6/2018 4:8:49",NULL,NULL,7/2/2018 17:08
15307,1,NULL,76,NG (OUT),RSSD,48,6/22/2018 4:10,42211,NULL,NULL,NULL,NULL,NULL," 42211,1,48,76,22/6/2018 4:10:49",NULL,NULL,7/2/2018 17:08
15308,1,NULL,129,NG (OUT),RSSD,48,6/22/2018 4:12,42212,NULL,NULL,NULL,NULL,NULL," 42212,1,48,129,22/6/2018 4:12:49",NULL,NULL,7/2/2018 17:09
15309,1,NULL,87,NG (OUT),RSSD,48,6/22/2018 4:14,42213,NULL,NULL,NULL,NULL,NULL," 42213,1,48,87,22/6/2018 4:14:49",NULL,NULL,7/2/2018 17:09
15310,1,NULL,63,NG (OUT),RSSD,48,6/22/2018 4:16,42214,NULL,NULL,NULL,NULL,NULL," 42214,1,48,63,22/6/2018 4:16:49",NULL,NULL,7/2/2018 17:09
15311,1,NULL,47,NG (OUT),RSSD,48,6/22/2018 4:18,42215,NULL,NULL,NULL,NULL,NULL," 42215,1,48,47,22/6/2018 4:18:49",NULL,NULL,7/2/2018 17:09
15312,1,NULL,94,NG (OUT),RSSD,48,6/22/2018 4:20,42216,NULL,NULL,NULL,NULL,NULL," 42216,1,48,94,22/6/2018 4:20:49",NULL,NULL,7/2/2018 17:09
15313,1,NULL,66,NG (OUT),RSSD,48,6/22/2018 4:22,42217,NULL,NULL,NULL,NULL,NULL," 42217,1,48,66,22/6/2018 4:22:49",NULL,NULL,7/2/2018 17:09
15314,1,NULL,98,NG (OUT),RSSD,48,6/22/2018 4:24,42218,NULL,NULL,NULL,NULL,NULL," 42218,1,48,98,22/6/2018 4:24:49",NULL,NULL,7/2/2018 17:09
15315,1,NULL,99,NG (OUT),RSSD,48,6/22/2018 4:26,42219,NULL,NULL,NULL,NULL,NULL," 42219,1,48,99,22/6/2018 4:26:49",NULL,NULL,7/2/2018 17:09
15316,1,NULL,91,NG (OUT),RSSD,48,6/22/2018 4:28,42220,NULL,NULL,NULL,NULL,NULL," 42220,1,48,91,22/6/2018 4:28:49",NULL,NULL,7/2/2018 17:09
15317,1,NULL,96,NG (OUT),RSSD,48,6/22/2018 4:30,42221,NULL,NULL,NULL,NULL,NULL," 42221,1,48,96,22/6/2018 4:30:49",NULL,NULL,7/2/2018 17:09
