"SERNO","RadmonID","MACID","RadiationLevel","Location","Department","RadiationStatus","DateTime","RecordNo","RadmonType","Temperature","BatteryVoltage","BatteryCurrent","Health","DataString","RadiationCPM","Dummy","Mdate"
"268680","26",NULL,"90","Cirus","RSSD","48","2018-06-22 08:56:20","26519",NULL,NULL,NULL,NULL,NULL," 26519,26,48,90,22/6/2018 8:56:20",NULL,NULL,"2018-07-03 08:16:33"
"268681","26",NULL,"74","Cirus","RSSD","48","2018-06-22 08:58:20","26520",NULL,NULL,NULL,NULL,NULL," 26520,26,48,74,22/6/2018 8:58:20",NULL,NULL,"2018-07-03 08:16:33"
"268682","26",NULL,"89","Cirus","RSSD","48","2018-06-22 09:00:20","26521",NULL,NULL,NULL,NULL,NULL," 26521,26,48,89,22/6/2018 9:0:20",NULL,NULL,"2018-07-03 08:16:33"
"268683","26",NULL,"97","Cirus","RSSD","48","2018-06-22 09:02:20","26522",NULL,NULL,NULL,NULL,NULL," 26522,26,48,97,22/6/2018 9:2:20",NULL,NULL,"2018-07-03 08:16:34"
"268684","26",NULL,"55","Cirus","RSSD","48","2018-06-22 09:04:20","26523",NULL,NULL,NULL,NULL,NULL," 26523,26,48,55,22/6/2018 9:4:20",NULL,NULL,"2018-07-03 08:16:34"
"268685","26",NULL,"72","Cirus","RSSD","48","2018-06-22 09:06:20","26524",NULL,NULL,NULL,NULL,NULL," 26524,26,48,72,22/6/2018 9:6:20",NULL,NULL,"2018-07-03 08:16:34"
"268686","26",NULL,"62","Cirus","RSSD","48","2018-06-22 09:08:20","26525",NULL,NULL,NULL,NULL,NULL," 26525,26,48,62,22/6/2018 9:8:20",NULL,NULL,"2018-07-03 08:16:34"
"268687","26",NULL,"92","Cirus","RSSD","48","2018-06-22 09:10:20","26526",NULL,NULL,NULL,NULL,NULL," 26526,26,48,92,22/6/2018 9:10:20",NULL,NULL,"2018-07-03 08:16:35"
"268688","26",NULL,"87","Cirus","RSSD","48","2018-06-22 09:12:20","26527",NULL,NULL,NULL,NULL,NULL," 26527,26,48,87,22/6/2018 9:12:20",NULL,NULL,"2018-07-03 08:16:35"
"268689","26",NULL,"98","Cirus","RSSD","48","2018-06-22 09:14:20","26528",NULL,NULL,NULL,NULL,NULL," 26528,26,48,98,22/6/2018 9:14:20",NULL,NULL,"2018-07-03 08:16:35"
"268690","26",NULL,"97","Cirus","RSSD","48","2018-06-22 09:16:20","26529",NULL,NULL,NULL,NULL,NULL," 26529,26,48,97,22/6/2018 9:16:20",NULL,NULL,"2018-07-03 08:16:35"
"268691","26",NULL,"73","Cirus","RSSD","48","2018-06-22 09:18:20","26530",NULL,NULL,NULL,NULL,NULL," 26530,26,48,73,22/6/2018 9:18:20",NULL,NULL,"2018-07-03 08:16:36"
"268692","26",NULL,"68","Cirus","RSSD","48","2018-06-22 09:20:20","26531",NULL,NULL,NULL,NULL,NULL," 26531,26,48,68,22/6/2018 9:20:20",NULL,NULL,"2018-07-03 08:16:36"
"268693","26",NULL,"100","Cirus","RSSD","48","2018-06-22 09:22:20","26532",NULL,NULL,NULL,NULL,NULL," 26532,26,48,100,22/6/2018 9:22:20",NULL,NULL,"2018-07-03 08:16:36"
"268694","26",NULL,"87","Cirus","RSSD","48","2018-06-22 09:24:20","26533",NULL,NULL,NULL,NULL,NULL," 26533,26,48,87,22/6/2018 9:24:20",NULL,NULL,"2018-07-03 08:16:37"
"268695","26",NULL,"85","Cirus","RSSD","48","2018-06-22 09:26:20","26534",NULL,NULL,NULL,NULL,NULL," 26534,26,48,85,22/6/2018 9:26:20",NULL,NULL,"2018-07-03 08:16:37"
"268696","26",NULL,"69","Cirus","RSSD","48","2018-06-22 09:28:20","26535",NULL,NULL,NULL,NULL,NULL," 26535,26,48,69,22/6/2018 9:28:20",NULL,NULL,"2018-07-03 08:16:37"
"268697","26",NULL,"79","Cirus","RSSD","48","2018-06-22 09:30:20","26536",NULL,NULL,NULL,NULL,NULL," 26536,26,48,79,22/6/2018 9:30:20",NULL,NULL,"2018-07-03 08:16:37"
"268698","26",NULL,"99","Cirus","RSSD","48","2018-06-22 09:32:20","26537",NULL,NULL,NULL,NULL,NULL," 26537,26,48,99,22/6/2018 9:32:20",NULL,NULL,"2018-07-03 08:16:38"
"268699","26",NULL,"91","Cirus","RSSD","48","2018-06-22 09:34:20","26538",NULL,NULL,NULL,NULL,NULL," 26538,26,48,91,22/6/2018 9:34:20",NULL,NULL,"2018-07-03 08:16:38"
"268700","26",NULL,"78","Cirus","RSSD","48","2018-06-22 09:36:20","26539",NULL,NULL,NULL,NULL,NULL," 26539,26,48,78,22/6/2018 9:36:20",NULL,NULL,"2018-07-03 08:16:38"
"268701","26",NULL,"74","Cirus","RSSD","48","2018-06-22 09:38:20","26540",NULL,NULL,NULL,NULL,NULL," 26540,26,48,74,22/6/2018 9:38:20",NULL,NULL,"2018-07-03 08:16:38"
"268702","26",NULL,"111","Cirus","RSSD","48","2018-06-22 09:40:20","26541",NULL,NULL,NULL,NULL,NULL," 26541,26,48,111,22/6/2018 9:40:20",NULL,NULL,"2018-07-03 08:16:39"
"268703","26",NULL,"84","Cirus","RSSD","48","2018-06-22 09:42:20","26542",NULL,NULL,NULL,NULL,NULL," 26542,26,48,84,22/6/2018 9:42:20",NULL,NULL,"2018-07-03 08:16:39"
"268704","26",NULL,"97","Cirus","RSSD","48","2018-06-22 09:44:20","26543",NULL,NULL,NULL,NULL,NULL," 26543,26,48,97,22/6/2018 9:44:20",NULL,NULL,"2018-07-03 08:16:39"
"268705","26",NULL,"62","Cirus","RSSD","48","2018-06-22 09:46:20","26544",NULL,NULL,NULL,NULL,NULL," 26544,26,48,62,22/6/2018 9:46:20",NULL,NULL,"2018-07-03 08:16:39"
"268706","26",NULL,"85","Cirus","RSSD","48","2018-06-22 09:48:20","26545",NULL,NULL,NULL,NULL,NULL," 26545,26,48,85,22/6/2018 9:48:20",NULL,NULL,"2018-07-03 08:16:40"
"268707","26",NULL,"85","Cirus","RSSD","48","2018-06-22 09:50:20","26546",NULL,NULL,NULL,NULL,NULL," 26546,26,48,85,22/6/2018 9:50:20",NULL,NULL,"2018-07-03 08:16:40"
"268708","26",NULL,"99","Cirus","RSSD","48","2018-06-22 09:52:20","26547",NULL,NULL,NULL,NULL,NULL," 26547,26,48,99,22/6/2018 9:52:20",NULL,NULL,"2018-07-03 08:16:40"
"268709","26",NULL,"110","Cirus","RSSD","48","2018-06-22 09:54:20","26548",NULL,NULL,NULL,NULL,NULL," 26548,26,48,110,22/6/2018 9:54:20",NULL,NULL,"2018-07-03 08:16:40"
"268710","26",NULL,"42","Cirus","RSSD","48","2018-06-22 09:56:20","26549",NULL,NULL,NULL,NULL,NULL," 26549,26,48,42,22/6/2018 9:56:20",NULL,NULL,"2018-07-03 08:16:41"
"268711","26",NULL,"90","Cirus","RSSD","48","2018-06-22 09:58:20","26550",NULL,NULL,NULL,NULL,NULL," 26550,26,48,90,22/6/2018 9:58:20",NULL,NULL,"2018-07-03 08:16:41"
"268712","26",NULL,"72","Cirus","RSSD","48","2018-06-22 10:00:20","26551",NULL,NULL,NULL,NULL,NULL," 26551,26,48,72,22/6/2018 10:0:20",NULL,NULL,"2018-07-03 08:16:41"
